id,label,time,gyro_x,gyro_y,gyro_z;
11,start,0.044368083,-0.3929750025272369,-1.964324951171875,0.1933249980211258;
11,start,0.046788393,-0.3844499886035919,-2.0585124492645264,0.171324998140335;
11,start,0.0492099,-0.3759250044822693,-2.1488499641418457,0.1457500010728836;
11,start,0.051631439,-0.3722124993801117,-2.2294249534606934,0.115225002169609;
11,start,0.054052902,-0.3746874928474426,-2.299137592315674,0.0785124972462654;
11,start,0.056474439,-0.3782624900341034,-2.35290002822876,0.0382249988615512;
11,start,0.058895977,-0.390500009059906,-2.395662546157837,-0.0057749999687075;
11,start,0.061317506,-0.4027374982833862,-2.431137561798096,-0.0558249987661838;
11,start,0.063740044,-0.418687492609024,-2.46771240234375,-0.1071124970912933;
11,start,0.066160354,-0.4332624971866607,-2.501950025558472,-0.1585374921560287;
11,start,0.06858189,-0.4515500068664551,-2.533712387084961,-0.2098249942064285;
11,start,0.071003429,-0.4699749946594238,-2.564237594604492,-0.2611125111579895;
11,start,0.073424972,-0.4882625043392181,-2.595999956130981,-0.3088249862194061;
11,start,0.075846511,-0.5065500140190125,-2.62776255607605,-0.3526875078678131;
11,start,0.078268049,-0.5249750018119812,-2.6558125019073486,-0.3954499959945678;
11,start,0.080689588,-0.5407875180244446,-2.671762466430664,-0.4321624934673309;
11,start,0.08311228,-0.5468375086784363,-2.6619999408721924,-0.4687374830245971;
11,start,0.085532878,-0.5542625188827515,-2.647287368774414,-0.5005000233650208;
11,start,0.087954184,-0.5578374862670898,-2.646049976348877,-0.5224999785423279;
11,start,0.090375646,-0.5590749979019165,-2.6607625484466557,-0.5432624816894531;
11,start,0.092797184,-0.5640249848365784,-2.687575101852417,-0.5579749941825867;
11,start,0.095218723,-0.5700749754905701,-2.7205750942230225,-0.5641624927520752;
11,start,0.097640251,-0.5798375010490417,-2.756049871444702,-0.5689749717712402;
11,start,0.10006179,-0.5933125019073486,-2.78410005569458,-0.5665000081062317;
11,start,0.102484328,-0.6128374934196472,-2.807337522506714,-0.5579749941825867;
11,start,0.104904638,-0.6360750198364258,-2.8232874870300293,-0.5457375049591064;
11,start,0.107326174,-0.6605499982833862,-2.8280999660491943,-0.5274500250816345;
11,start,0.109747674,-0.6886000037193298,-2.820812463760376,-0.5005000233650208;
11,start,0.112169212,-0.7240750193595886,-2.796337366104126,-0.4699749946594238;
11,start,0.114590751,-0.7643625140190125,-2.754812479019165,-0.4309250116348266;
11,start,0.117012289,-0.8058875203132629,-2.6912875175476074,-0.3894000053405761;
11,start,0.119433753,-0.853600025177002,-2.599712371826172,-0.346637487411499;
11,start,0.121856491,-0.9048874974250792,-2.4824249744415283,-0.3001624941825866;
11,start,0.124276801,-0.95864999294281,-2.334612369537353,-0.2561624944210052;
11,start,0.126698337,-1.015987515449524,-2.150087594985962,-0.2098249942064285;
11,start,0.129119876,-1.0759375095367432,-1.9337999820709229,-0.1621125042438507;
11,start,0.131541414,-1.138224959373474,-1.7004624605178833,-0.1120624989271164;
11,start,0.133962705,-1.2005125284194946,-1.4658875465393066,-0.0595375001430511;
11,start,0.136384472,-1.2627999782562256,-1.232550024986267,-0.0057749999687075;
11,start,0.138806012,-1.3287999629974363,-1.0187374353408811,0.0527999997138977;
11,start,0.141228549,-1.3923250436782837,-0.8269249796867371,0.113987497985363;
11,start,0.143648859,-1.4558500051498413,-0.6620625257492065,0.1750375032424926;
11,start,0.146070361,-1.5206124782562256,-0.5227749943733215,0.2373249977827072;
11,start,0.148491899,-1.5841374397277832,-0.417724996805191,0.296037495136261;
11,start,0.150913438,-1.645187497138977,-0.3517250120639801,0.3508999943733215;
